Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
05/08/2012,G (Feb 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
05/09/2012,G (Feb 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
05/10/2012,G (Feb 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
05/11/2012,G (Feb 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
05/14/2012,G (Feb 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
05/15/2012,G (Feb 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
05/16/2012,G (Feb 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
05/17/2012,G (Feb 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
05/18/2012,G (Feb 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
05/21/2012,G (Feb 13),0.00,0.00,0.00,0.00,30.00,30.00,0,0,0
05/22/2012,G (Feb 13),30.05,30.05,30.05,30.05,29.85,-0.15,1,0,1
05/23/2012,G (Feb 13),0.00,0.00,0.00,0.00,30.15,0.30,0,0,1
05/24/2012,G (Feb 13),29.80,29.80,29.80,29.80,29.70,-0.45,16,0,17
05/25/2012,G (Feb 13),30.06,30.06,29.65,29.65,31.50,1.80,20,0,34
05/29/2012,G (Feb 13),29.30,29.52,28.50,29.23,29.20,-2.30,79,0,92
05/30/2012,G (Feb 13),29.75,29.75,29.45,29.60,29.45,0.25,50,0,100
05/31/2012,G (Feb 13),29.85,29.97,29.35,29.50,29.65,0.20,104,0,152
06/01/2012,G (Feb 13),30.00,30.90,29.75,30.90,31.00,1.35,232,0,254
06/04/2012,G (Feb 13),30.50,30.95,30.50,30.95,30.95,-0.05,101,0,254
06/05/2012,G (Feb 13),30.58,30.80,30.58,30.66,30.50,-0.45,25,0,266
06/06/2012,G (Feb 13),30.23,30.35,30.07,30.19,30.05,-0.45,21,0,271
06/07/2012,G (Feb 13),30.10,30.30,30.10,30.30,30.10,0.05,4,0,273
06/08/2012,G (Feb 13),30.46,30.46,29.50,29.50,29.30,-0.80,79,0,313
06/11/2012,G (Feb 13),29.50,31.15,29.50,31.15,30.90,1.60,56,0,323
06/12/2012,G (Feb 13),30.60,31.00,30.55,30.81,30.80,-0.10,64,0,356
06/13/2012,G (Feb 13),31.30,31.60,31.15,31.58,31.55,0.75,36,0,358
06/14/2012,G (Feb 13),31.55,31.59,30.40,30.40,30.60,-0.95,14,0,370
06/15/2012,G (Feb 13),30.70,30.75,30.00,30.00,30.10,-0.50,436,0,567
06/18/2012,G (Feb 13),30.05,30.05,29.50,29.90,29.85,-0.25,105,0,578
06/19/2012,G (Feb 13),29.50,29.68,29.40,29.49,29.60,-0.25,150,0,676
06/20/2012,G (Feb 13),29.54,29.55,28.70,28.70,28.85,-0.75,65,0,720
06/21/2012,G (Feb 13),28.75,29.85,28.70,29.50,29.60,0.75,815,0,1258
06/22/2012,G (Feb 13),29.25,29.55,28.55,29.40,30.80,1.20,244,0,1299
06/25/2012,G (Feb 13),29.28,30.00,29.28,29.95,29.90,-0.90,117,0,1289
06/26/2012,G (Feb 13),29.67,29.95,29.00,29.40,29.40,-0.50,359,0,1398
06/27/2012,G (Feb 13),29.05,29.31,28.90,29.19,29.05,-0.35,235,0,1509
06/28/2012,G (Feb 13),29.12,29.45,28.73,28.75,28.75,-0.30,178,0,1588
06/29/2012,G (Feb 13),27.85,28.20,27.79,28.00,28.10,-0.65,401,0,1805
07/02/2012,G (Feb 13),27.65,27.95,27.35,27.55,27.50,-0.60,313,0,1954
07/03/2012,G (Feb 13),27.45,27.68,27.17,27.20,27.15,-0.35,476,0,2255
07/05/2012,G (Feb 13),27.15,27.85,27.10,27.45,27.35,0.20,473,0,2562
07/06/2012,G (Feb 13),27.60,27.85,27.05,27.05,27.00,-0.35,138,0,2564
07/09/2012,G (Feb 13),27.14,27.32,26.85,26.89,26.90,-0.10,296,0,2617
07/10/2012,G (Feb 13),26.89,27.28,26.67,26.95,27.00,0.10,369,0,2741
07/11/2012,G (Feb 13),26.90,27.15,26.45,26.62,26.65,-0.35,285,0,2702
07/12/2012,G (Feb 13),26.98,27.28,26.60,26.92,26.85,0.20,122,0,2687
07/13/2012,G (Feb 13),26.65,26.65,25.95,26.40,26.30,-0.55,463,0,2944
07/16/2012,G (Feb 13),26.40,26.45,26.15,26.30,26.30,0.00,222,0,3008
07/17/2012,G (Feb 13),26.10,26.29,25.60,25.80,25.85,-0.45,216,0,2981
07/18/2012,G (Feb 13),25.88,26.10,25.70,26.02,26.05,0.20,1623,0,3634
07/19/2012,G (Feb 13),25.87,26.05,25.70,25.87,25.90,-0.15,1891,0,4619
07/20/2012,G (Feb 13),26.15,26.50,26.04,26.28,26.30,0.40,1671,0,4887
07/23/2012,G (Feb 13),26.94,27.55,26.75,27.08,27.10,0.80,1859,0,5621
07/24/2012,G (Feb 13),27.00,27.65,26.90,27.37,27.40,0.30,1449,0,6338
07/25/2012,G (Feb 13),27.09,27.45,26.80,27.12,27.15,-0.25,1344,0,6825
07/26/2012,G (Feb 13),26.61,26.83,26.10,26.13,26.15,-1.00,1268,0,7225
07/27/2012,G (Feb 13),26.00,26.40,25.80,26.25,26.25,0.10,2085,0,7929
07/30/2012,G (Feb 13),26.25,26.60,26.10,26.50,26.50,0.25,1209,25,8516
07/31/2012,G (Feb 13),26.43,26.90,26.35,26.78,26.80,0.30,1590,0,8969
08/01/2012,G (Feb 13),26.50,27.00,26.26,26.96,27.00,0.20,2148,0,9791
08/02/2012,G (Feb 13),26.65,27.45,26.55,26.95,26.95,-0.05,2156,0,10421
08/03/2012,G (Feb 13),26.66,26.66,26.20,26.23,26.25,-0.70,2077,0,11182
08/06/2012,G (Feb 13),25.80,26.16,25.75,26.08,26.10,-0.15,2080,0,12177
