Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
06/13/2012,H (Mar 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
06/14/2012,H (Mar 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
06/15/2012,H (Mar 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
06/18/2012,H (Mar 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
06/19/2012,H (Mar 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
06/20/2012,H (Mar 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
06/21/2012,H (Mar 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
06/22/2012,H (Mar 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
06/25/2012,H (Mar 13),0.00,0.00,0.00,0.00,30.05,30.05,0,0,0
06/26/2012,H (Mar 13),29.85,30.05,29.15,29.50,29.65,-0.40,41,0,34
06/27/2012,H (Mar 13),29.50,29.57,29.35,29.57,29.40,-0.25,55,0,57
06/28/2012,H (Mar 13),29.65,29.74,29.04,29.04,28.95,-0.45,46,0,84
06/29/2012,H (Mar 13),28.56,28.56,28.21,28.30,28.30,-0.65,53,0,101
07/02/2012,H (Mar 13),28.12,28.13,27.69,27.70,27.80,-0.50,169,0,184
07/03/2012,H (Mar 13),27.80,28.02,27.65,27.90,27.65,-0.15,137,0,263
07/05/2012,H (Mar 13),28.00,28.10,27.73,27.85,27.95,0.30,187,0,375
07/06/2012,H (Mar 13),28.10,28.10,27.55,27.55,27.65,-0.30,11,0,388
07/09/2012,H (Mar 13),27.78,27.78,27.19,27.40,27.40,-0.25,268,0,489
07/10/2012,H (Mar 13),27.15,27.72,27.08,27.45,27.40,0.00,222,0,546
07/11/2012,H (Mar 13),27.30,27.65,27.00,27.04,27.00,-0.40,215,0,484
07/12/2012,H (Mar 13),27.60,27.66,27.00,27.22,27.20,0.20,50,0,478
07/13/2012,H (Mar 13),26.73,26.90,26.45,26.65,26.70,-0.50,79,0,520
07/16/2012,H (Mar 13),26.95,26.95,26.60,26.65,26.70,0.00,13,0,522
07/17/2012,H (Mar 13),26.51,26.67,26.00,26.25,26.35,-0.35,83,0,517
07/18/2012,H (Mar 13),26.35,26.50,26.15,26.50,26.45,0.10,257,0,705
07/19/2012,H (Mar 13),26.35,26.47,26.13,26.35,26.25,-0.20,261,0,891
07/20/2012,H (Mar 13),26.55,26.95,26.49,26.70,26.75,0.50,261,0,1059
07/23/2012,H (Mar 13),27.30,27.90,27.30,27.50,27.55,0.80,385,0,1074
07/24/2012,H (Mar 13),27.55,28.05,27.45,27.87,27.85,0.30,58,0,1098
07/25/2012,H (Mar 13),27.60,27.90,27.34,27.42,27.65,-0.20,183,0,1175
07/26/2012,H (Mar 13),26.85,27.28,26.60,26.60,26.70,-0.95,81,0,1225
07/27/2012,H (Mar 13),26.40,26.90,26.40,26.64,26.70,0.00,180,0,1265
07/30/2012,H (Mar 13),26.70,27.05,26.70,27.00,27.00,0.30,14,0,1215
07/31/2012,H (Mar 13),27.10,27.30,26.83,27.24,27.25,0.25,351,0,1430
08/01/2012,H (Mar 13),26.98,27.40,26.78,27.40,27.35,0.10,61,0,1448
08/02/2012,H (Mar 13),27.43,27.70,27.25,27.45,27.40,0.05,274,0,1531
08/03/2012,H (Mar 13),27.05,27.20,26.69,26.80,26.70,-0.70,403,0,1774
08/06/2012,H (Mar 13),26.46,26.67,26.30,26.64,26.65,-0.05,167,0,1791
08/07/2012,H (Mar 13),26.61,27.10,26.45,26.92,26.95,0.30,138,0,1826
