Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
09/17/2012,M (Jun 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/18/2012,M (Jun 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/19/2012,M (Jun 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/20/2012,M (Jun 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/21/2012,M (Jun 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
09/24/2012,M (Jun 13),0.00,0.00,0.00,0.00,25.95,25.95,0,0,0
09/25/2012,M (Jun 13),25.50,26.10,25.43,26.10,26.05,0.10,167,0,147
09/26/2012,M (Jun 13),25.80,26.45,25.80,26.24,26.25,0.20,112,0,217
09/27/2012,M (Jun 13),25.95,25.99,25.60,25.61,25.55,-0.70,6,0,219
09/28/2012,M (Jun 13),25.65,25.88,25.65,25.72,25.65,0.10,162,0,316
10/01/2012,M (Jun 13),25.55,25.74,25.35,25.74,25.75,0.10,106,0,355
10/02/2012,M (Jun 13),25.50,25.72,25.40,25.60,25.50,-0.25,91,0,412
10/03/2012,M (Jun 13),25.47,25.54,25.21,25.45,25.45,-0.05,135,0,467
10/04/2012,M (Jun 13),25.21,25.27,25.04,25.04,24.95,-0.50,876,0,1091
10/05/2012,M (Jun 13),24.58,24.87,24.55,24.78,24.75,-0.20,214,0,1254
10/08/2012,M (Jun 13),24.93,24.93,24.75,24.79,24.80,0.05,221,0,1379
10/09/2012,M (Jun 13),24.65,24.95,24.65,24.80,24.85,0.05,274,0,1525
10/10/2012,M (Jun 13),24.85,24.87,24.65,24.78,24.95,0.10,168,0,1621
10/11/2012,M (Jun 13),24.35,24.55,24.29,24.50,24.55,-0.40,134,0,1703
10/12/2012,M (Jun 13),24.26,24.49,24.10,24.25,24.25,-0.30,694,0,2187
10/15/2012,M (Jun 13),23.90,24.30,23.79,23.93,24.00,-0.25,203,0,2298
10/16/2012,M (Jun 13),23.70,23.89,23.65,23.75,23.75,-0.25,225,0,2409
10/17/2012,M (Jun 13),23.65,23.90,23.40,23.50,23.50,-0.25,355,0,2552
10/18/2012,M (Jun 13),23.50,23.69,23.35,23.61,23.60,0.10,227,0,2687
10/19/2012,M (Jun 13),23.60,24.16,23.50,24.10,24.15,0.55,312,0,2784
10/22/2012,M (Jun 13),24.05,24.15,23.65,23.80,23.70,-0.45,160,0,2848
10/23/2012,M (Jun 13),24.00,24.50,23.85,24.21,24.15,0.45,1311,0,3502
10/24/2012,M (Jun 13),23.90,24.05,23.74,23.88,23.95,-0.20,180,0,3483
10/25/2012,M (Jun 13),23.70,23.76,23.55,23.63,23.65,-0.30,200,0,3487
